,company_name,job,location,salary,duration,desc
0,NxtJob,HR Generalist,Work from home ,"₹ 2,000 /month ",2 Months,"
                1. Provide tailored guidance to professionals in managing their job applications, enhancing LinkedIn profiles, and improving interview readiness to ensure a smooth and engaging candidate experience.
2. Analyze labor market trends, industry shifts, and employer requirements to provide strategic input that supports both talent development and internal HR planning.
3. Monitor employee and candidate engagement throughout the hiring process, evaluate outcomes, and use feedback to fine-tune HR strategies and enhance overall service quality.
4. Work closely with employees, candidates, and cross-functional teams to implement initiatives that improve HR services, boost operational efficiency, and foster a positive experience across all touchpoints.                "
1,Vahan Technologies India Private Limited,Field Sales,Raipur ,"₹ 10,000 - 15,000 /month ",6 Months,"
                1. Escalation handling: Help partners resolve day to day escalations on candidate onboarding and payout related issues
2. Market visits: Conduct visits and meet partners in their office to build trust and stronger relationships, identify new opportunities to grow monthly placements.
3. Lead communication: Assist in initial outreach to potential leads by conducting demo calls in-person meetings
4. Proposal support: Collaborate with the sales team to create pitch decks and proposals tailored to client needs.
5. Data analysis: Analyze sales data to track lead progress and conversion rates, generating weekly reports.
6. Growth partner: Be a growth partner for new vendors by guiding them in team hiring, lead sourcing and productivity improvement                "
2,MIX-DESIGN,Architecture,"Pune, Pimpri-Chinchwad ","₹ 5,000 - 15,000 /month ",6 Months,"
                1. Researching about the problem given and preparing a concept design schematic. 
2. SketchUp modelling of Planned Schemes. 
3. Picking a new software and developing a new skill set around it.                "
3,ESEDS School Of Design,Fashion Design,Kolkata ,"₹ 3,000 /month ",6 Months,"
                Are you passionate about fashion and looking to gain hands-on experience in the industry? Join us as a Fashion Design intern! 

As a member of our team, you will have the opportunity to work alongside experienced professionals and contribute to the creation of innovative and stylish designs. If you have a strong knowledge of Adobe Photoshop, Fashion Designing, Fashion illustration, Fashion Styling, CorelDRAW, and Adobe Illustrator, we want to hear from you! 

Selected intern’s day-to-day responsibilities include:

1. Assist in the development of new designs and concepts
2. Create detailed fashion illustrations and technical drawings
3. Collaborate with the design team to bring ideas to life
4. Participate in brainstorming sessions and trend research
5. Assist in the preparation for fashion shows and photo shoots
6. Work on creating mood boards and presentations
7. Support the team in various day-to-day tasks and projects 

Don't miss out on this exciting opportunity to kickstart your career in the fashion industry. Apply now and showcase your creativity and skills.                "
4,TIME TOURS,Operations,Kolkata ,"₹ 5,000 - 7,500 /month ",5 Months,"
                1. Curating smart, cost-effective travel solutions that blend comfort, adventure, and value 
2. Deep-diving into travel trends to uncover hidden gems, unique experiences, and emerging destinations  
3. Crafting detailed, wanderlust-worthy itineraries and discovering offbeat spots that excite the modern-day explorer
4. Leveraging AI tools to supercharge research, content planning, and trend spotting
5. Showcasing your creativity by featuring in explainer videos and fun, high-energy social media reels
6. Getting hands-on exposure across different verticals of travel and tourism—from planning to content to client experiences                "
5,Herbocleanz,Business Development (Sales),Dehradun ,"₹ 10,000 - 15,000 /month ",1 Month,"
                Are you a go-getter with a passion for sales and marketing? Herbocleanz is looking for a dynamic Business Development (Sales) intern to join our team! As an intern, you will have the opportunity to showcase your skills in English Proficiency (Spoken), Email Marketing, and Social Media Marketing while gaining valuable experience in the cleaning industry.

Key Responsibilities:
1. Assist in developing and implementing sales strategies to drive business growth.
2. Conduct market research to identify potential customers and industry trends.
3. Collaborate with the marketing team to create engaging email campaigns and social media content.
4. Build and maintain strong relationships with clients and partners.
5. Assist in managing and updating CRM system to track sales leads and opportunities.
6. Participate in sales meetings and presentations to pitch Herbocleanz products and services.
7. Provide regular updates and reports on sales activities and progress to the sales team.

If you're a motivated individual with a keen eye for detail and a knack for communication, we want to hear from you! Join us at Herbocleanz and take your sales and marketing skills to the next level. Apply now and kickstart your career in business development!                "
6,NxtJob,Business Development,Work from home ,"₹ 2,000 /month ",2 Months,"
                1. Assist in identifying and pursuing new sales opportunities, supporting the development and execution of sales strategies, and enhancing outreach efforts to generate leads and increase client engagement.
2. Conduct market research on industry trends, customer needs, and competitor activity to provide valuable insights that help the team tailor sales approaches and improve client acquisition strategies.
3. Monitor the effectiveness of sales campaigns, track key performance metrics, and analyze results to identify areas for improvement and adjust strategies to maximize success.
4. Collaborate with the sales team to develop and implement innovative sales strategies that enhance customer satisfaction, increase revenue, and improve the overall sales experience.                "
7,HiTechEcom,Video Editor,Work from home ,"₹ 3,000 /week ",3 Months,"
                As a Video Editor intern at HiTechEcom company, you will have the opportunity to showcase your creativity and skills in editing videos using Final Cut Pro and Adobe Premiere Pro. You will also be responsible for implementing effective Facebook and Instagram marketing strategies to engage our audience and increase brand awareness. Additionally, your expertise in Canva will be utilized to create visually appealing graphics for our social media platforms. 

1. Edit and produce high-quality videos for various marketing campaigns
2. Collaborate with the marketing team to develop innovative video content
3. Implement Facebook and Instagram marketing strategies to drive engagement and traffic
4. Analyze and report on the performance of social media campaigns
5. Create eye-catching graphics and visuals using Canva
6. Stay up-to-date on industry trends and best practices in video editing and social media marketing
7. Assist in other marketing initiatives as needed to support the overall goals of the company. 

If you are passionate about video editing, social media marketing, and creating compelling content, we want you to join our team and help us take our brand to the next level! Apply now to be a part of our dynamic and innovative company.                "
8,Ambition Vista,Sales & Communication Manager,Work from home ,"₹ 5,900 - 10,000 /month ",3 Months,"
                About the company :

Ambition Vista is a website development company seeking enthusiastic and confident interns to help us communicate with verified potential clients and close deals. Unlike traditional lead generation, you will not search for leads—we’ll provide them directly.

Your role is to connect, engage, and build trust with potential clients, and then convert these conversations into actual business deals. We are especially interested in MBA, BBA, or non-technical background students who have good communication skills. Candidates with technical degrees like B. Tech, BCA, or similar are strictly prohibited from applying, as this role is not for them.

Preference will be given to candidates who already have some sales or client-facing experience and can confidently close deals.



1. Contacting verified potential clients (provided by Ambition Vista) via WhatsApp, calls, or messages.
2. Engaging in professional conversations to build trust and interest in our website development services.
3. Explaining our offerings clearly and persuasively to decision-makers.
4. Recording client responses, queries, and outcomes in an organized format.
5. Following up with interested clients consistently.
6. Working with the core team to improve communication scripts and strategies.
7. Meeting weekly communication and deal-closing targets.

Stipend & Incentives:

1. ₹5,000/month base stipend
2. If 2 or more projects are closed in a month, you will receive the ₹5,000 base stipend + 10% incentive per project (starting from the first one closed)
3. No upper cap on earnings—the more deals you close, the more you earn

Who Can Apply:

1. MBA, BBA, or non-technical background students
2. Not from technical backgrounds like B. Tech, BCA, MCA, or similar (strictly prohibited)
3. Good spoken and written communication skills
4. Confident in client interaction and closing deals
5. Preferably have prior experience in client communication/sales/business development
6. Have a smartphone, SIM, and internet connection for daily outreach

Perks:

1. Certificate of completion (after 3 months)
2. Letter of recommendation for top performers
3. Flexible work hours
4. Free Udemy Courses for selected candidates
5. Hands-on experience in real-world client communication & deal closing                "
9,InAmigos Foundation,Graphic Design,Work from home ,"₹ 1,500 - 3,500 /month ",2 Weeks,"
                1. Creating graphics, illustrations, and other visual content for digital and print media, such as social media posts
2. Working with marketing, content, and development teams
3. Assisting in the brainstorming and conceptualization of new design ideas and creative concepts
4. Raising funds for the betterment of society

Note: For the stipend, interns have to raise donations                "
